"LSOA21CD","Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)","Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)","Income Rank (where 1 is most deprived)","Income Decile (where 1 is most deprived 10% of LSOAs)","Employment Rank (where 1 is most deprived)","Employment Decile (where 1 is most deprived 10% of LSOAs)","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)","Health Deprivation and Disability Rank (where 1 is most deprived)","Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs)","Crime Rank (where 1 is most deprived)","Crime Decile (where 1 is most deprived 10% of LSOAs)","Barriers to Housing and Services Rank (where 1 is most deprived)","Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs)","Living Environment Rank (where 1 is most deprived)","Living Environment Decile (where 1 is most deprived 10% of LSOAs)","Output_Area_to_Lower_layer_Supe.MSOA21CD","Total annual income.Total annual income (£)","LAD24CD","202425_local_authority_district.attainment8_average"
"E01000013","7410","3","5785","2","8486","3","10788","4","13686","5","5273","2","6472","2","9239","3","E02000014","59017","E09000002","48.4"
"E01000014","9243","3","9095","3","8780","3","11402","4","8751","3","9700","3","11135","4","10503","4","E02000014","59017","E09000002","48.4"
"E01000015","8120","3","4836","2","7404","3","10507","4","15037","5","14746","5","5605","2","15760","5","E02000010","63033","E09000002","48.4"
"E01000016","10202","4","7271","3","10868","4","12727","4","9151","3","20715","7","6566","2","14906","5","E02000010","63033","E09000002","48.4"
"E01000017","7452","3","5324","2","7374","3","8631","3","8710","3","16942","6","7097","3","12607","4","E02000010","63033","E09000002","48.4"
"E01000018","8300","3","5974","2","7701","3","9253","3","9416","3","11579","4","10694","4","16806","5","E02000010","63033","E09000002","48.4"
"E01000019","7965","3","4876","2","7929","3","10680","4","13201","4","19450","6","3620","2","15090","5","E02006799","60461","E09000002","48.4"
"E01000020","8264","3","7989","3","10171","4","10892","4","7212","3","18335","6","2741","1","11334","4","E02006799","60461","E09000002","48.4"
"E01000021","5192","2","3571","2","7541","3","9181","3","7366","3","8138","3","3441","2","7499","3","E02000009","65839","E09000002","48.4"
"E01000022","8043","3","5786","2","8122","3","13323","4","12624","4","15917","5","2032","1","16522","5","E02000009","65839","E09000002","48.4"
"E01000024","8426","3","6392","2","9103","3","10784","4","12504","4","15128","5","4182","2","11190","4","E02000009","65839","E09000002","48.4"
"E01000025","8359","3","6163","2","9062","3","9414","3","11741","4","13232","4","6239","2","11891","4","E02000009","65839","E09000002","48.4"
"E01000027","6841","3","5267","2","6179","2","7812","3","9552","3","8413","3","6875","3","20382","7","E02000002","60307","E09000002","48.4"
"E01000028","6021","2","3949","2","6123","2","11201","4","4979","2","10894","4","5273","2","21166","7","E02000002","60307","E09000002","48.4"
"E01000029","15432","5","16002","5","17640","6","15925","5","20679","7","13424","4","4321","2","12628","4","E02000002","60307","E09000002","48.4"
"E01000030","6345","2","4719","2","6399","2","10499","4","9170","3","4892","2","6760","3","15351","5","E02000002","60307","E09000002","48.4"
"E01000031","13927","5","12560","4","15452","5","19310","6","20188","6","10482","4","5611","2","9636","3","E02000003","64687","E09000002","48.4"
"E01000032","10040","3","8514","3","12891","4","11798","4","16382","5","10401","4","3479","2","10586","4","E02000003","64687","E09000002","48.4"
"E01000033","6743","2","3380","2","7099","3","7882","3","10143","4","16465","5","7271","3","15367","5","E02000007","60395","E09000002","48.4"
"E01000034","8994","3","7765","3","7693","3","10141","4","6293","2","14600","5","9805","3","23718","8","E02000004","73167","E09000002","48.4"
"E01000035","8514","3","7702","3","9589","3","8019","3","9087","3","10946","4","9013","3","11097","4","E02000011","64715","E09000002","48.4"
"E01000036","10874","4","9324","3","11735","4","12608","4","12480","4","12349","4","10239","4","8173","3","E02000011","64715","E09000002","48.4"
"E01000037","16580","5","13884","5","12187","4","14889","5","21884","7","19190","6","13186","4","19709","6","E02000004","73167","E09000002","48.4"
"E01000038","16728","5","13771","5","14440","5","14950","5","19654","6","23745","8","12099","4","14678","5","E02000004","73167","E09000002","48.4"
"E01000039","17151","6","14160","5","14370","5","17374","6","19962","6","18487","6","8721","3","24502","8","E02000004","73167","E09000002","48.4"
"E01000040","5208","2","3489","2","6398","2","8021","3","11030","4","10472","4","3518","2","6235","2","E02000020","65130","E09000002","48.4"
"E01000041","10397","4","6504","2","12451","4","10150","4","14966","5","19292","6","6970","3","11142","4","E02000018","63438","E09000002","48.4"
"E01000042","4753","2","2313","1","5531","2","9346","3","12148","4","9017","3","1933","1","13981","5","E02000018","63438","E09000002","48.4"
"E01000043","9631","3","9492","3","13712","5","9586","3","16054","5","10793","4","3370","1","6723","2","E02000020","65130","E09000002","48.4"
"E01000044","7562","3","5939","2","11783","4","9277","3","14773","5","13239","4","5170","2","2430","1","E02000017","66282","E09000002","48.4"
"E01000045","6387","2","5597","2","6953","3","12482","4","12072","4","3001","1","6496","2","7659","3","E02000018","63438","E09000002","48.4"
"E01000046","9497","3","5960","2","9319","3","13160","4","11626","4","15348","5","8160","3","14190","5","E02000018","63438","E09000002","48.4"
"E01000049","5459","2","8135","3","8082","3","8831","3","12430","4","10336","4","605","1","2020","1","E02000022","76875","E09000002","48.4"
"E01000050","7897","3","5720","2","11804","4","12592","4","12101","4","11221","4","3778","2","5522","2","E02000020","65130","E09000002","48.4"
"E01000051","7571","3","1649","1","17031","6","22156","7","8174","3","9411","3","8200","3","10529","4","E02000022","76875","E09000002","48.4"
"E01000052","6208","2","4957","2","9261","3","7623","3","11538","4","16271","5","3845","2","2701","1","E02000020","65130","E09000002","48.4"
"E01000053","6763","3","5513","2","6993","3","10408","4","7223","3","11299","4","5759","2","10796","4","E02000021","62778","E09000002","48.4"
"E01000054","9055","3","6602","2","9440","3","11911","4","10556","4","11113","4","7627","3","14406","5","E02000019","68408","E09000002","48.4"
"E01000055","8945","3","6008","2","7992","3","11137","4","13170","4","13338","4","10625","4","11738","4","E02000019","68408","E09000002","48.4"
"E01000056","4599","2","3064","1","4823","2","9170","3","5383","2","4036","2","7739","3","15858","5","E02000019","68408","E09000002","48.4"
"E01000057","8843","3","7286","3","9969","3","8529","3","14999","5","7663","3","8807","3","10088","3","E02000013","60785","E09000002","48.4"
"E01000058","8503","3","6184","2","9154","3","8223","3","12163","4","10832","4","7198","3","16406","5","E02000019","68408","E09000002","48.4"
"E01000059","9848","3","6003","2","9468","3","10735","4","14108","5","17435","6","8029","3","16341","5","E02000014","59017","E09000002","48.4"
"E01000060","7035","3","5088","2","7787","3","11974","4","9936","3","5527","2","10040","3","8489","3","E02000007","60395","E09000002","48.4"
"E01000061","1545","1","242","1","2137","1","8369","3","2089","1","7017","3","6474","2","8765","3","E02000007","60395","E09000002","48.4"
"E01000062","10394","4","6946","3","11270","4","12954","4","13805","5","10843","4","10251","4","11691","4","E02000007","60395","E09000002","48.4"
"E01000063","10883","4","8277","3","11597","4","10059","3","13583","5","15240","5","9415","3","12140","4","E02000005","65001","E09000002","48.4"
"E01000064","7649","3","5842","2","8449","3","10941","4","9008","3","9311","3","5330","2","14916","5","E02000007","60395","E09000002","48.4"
"E01000065","5811","2","3234","1","5801","2","10108","3","6540","2","15968","5","8244","3","10036","3","E02000008","61478","E09000002","48.4"
"E01000066","13708","5","11787","4","15300","5","13341","4","18704","6","22908","7","3316","1","14599","5","E02000012","72469","E09000002","48.4"
"E01000067","11472","4","9065","3","13486","4","12510","4","20811","7","15042","5","4974","2","7859","3","E02000012","72469","E09000002","48.4"
"E01000068","12348","4","11153","4","14190","5","12121","4","18367","6","13934","5","4867","2","11102","4","E02000017","66282","E09000002","48.4"
"E01000069","18866","6","17964","6","22090","7","14198","5","24183","8","22560","7","4550","2","17063","6","E02000012","72469","E09000002","48.4"
"E01000070","12968","4","13086","4","16422","5","15153","5","22959","7","8937","3","4250","2","7399","3","E02000012","72469","E09000002","48.4"
"E01000071","13366","4","10812","4","18827","6","17137","6","18351","6","17700","6","1776","1","13867","5","E02000012","72469","E09000002","48.4"
"E01000072","5523","2","3596","2","6842","3","9648","3","8758","3","7127","3","6703","2","6898","3","E02000018","63438","E09000002","48.4"
"E01000073","8025","3","4851","2","7707","3","10798","4","11011","4","14435","5","10797","4","10492","4","E02000013","60785","E09000002","48.4"
"E01000074","8640","3","5680","2","10895","4","9135","3","9558","3","12811","4","11325","4","9762","3","E02000013","60785","E09000002","48.4"
"E01000075","10481","4","9284","3","11282","4","10802","4","15192","5","8175","3","11365","4","8544","3","E02000013","60785","E09000002","48.4"
"E01000076","8315","3","6515","2","8380","3","6366","2","13290","4","15154","5","9406","3","10215","4","E02000013","60785","E09000002","48.4"
"E01000077","6646","2","5123","2","7423","3","8973","3","9937","3","8240","3","7959","3","7518","3","E02000009","65839","E09000002","48.4"
"E01000078","7165","3","5232","2","8394","3","8310","3","11246","4","10447","4","7177","3","8071","3","E02000008","61478","E09000002","48.4"
"E01000079","9422","3","6459","2","9025","3","11387","4","8703","3","19032","6","9094","3","16120","5","E02000010","63033","E09000002","48.4"
"E01000080","9673","3","7406","3","10022","3","11208","4","10827","4","12385","4","8638","3","13664","5","E02000008","61478","E09000002","48.4"
"E01000081","11202","4","8044","3","11644","4","10989","4","12666","4","18463","6","8494","3","14652","5","E02000008","61478","E09000002","48.4"
"E01000082","8446","3","5506","2","10053","3","9451","3","12902","4","8637","3","8629","3","12681","4","E02000008","61478","E09000002","48.4"
"E01000083","6814","3","4551","2","7585","3","7166","3","11320","4","13612","5","9280","3","6881","3","E02000008","61478","E09000002","48.4"
"E01000084","6644","2","6631","2","7714","3","9180","3","10579","4","3411","2","7707","3","7941","3","E02000014","59017","E09000002","48.4"
"E01000085","5699","2","4454","2","6500","2","7682","3","11089","4","6898","3","6180","2","6777","3","E02000014","59017","E09000002","48.4"
"E01000086","6870","3","4152","2","8734","3","10179","4","6594","2","12978","4","6892","3","12202","4","E02000014","59017","E09000002","48.4"
"E01000087","7092","3","3915","2","8590","3","10377","4","13119","4","14544","5","6641","2","6133","2","E02000021","62778","E09000002","48.4"
"E01000088","9752","3","7785","3","12193","4","12106","4","9723","3","11609","4","6280","2","12320","4","E02000021","62778","E09000002","48.4"
"E01000089","8110","3","3733","2","10715","4","9794","3","14474","5","11060","4","6119","2","16650","5","E02000021","62778","E09000002","48.4"
"E01000090","8847","3","3683","2","8534","3","11180","4","14715","5","16454","5","10011","3","20237","6","E02000021","62778","E09000002","48.4"
"E01000091","4644","2","2547","1","3897","2","13916","5","8338","3","10454","4","2230","1","15324","5","E02000023","70564","E09000002","48.4"
"E01000093","3999","2","3228","1","4981","2","9146","3","4959","2","7433","3","1765","1","10007","3","E02000023","70564","E09000002","48.4"
"E01000094","12032","4","6259","2","12372","4","20577","7","14169","5","16833","5","6459","2","19946","6","E02000023","70564","E09000002","48.4"
"E01000095","6862","3","1993","1","8090","3","14801","5","14256","5","10144","4","7753","3","15586","5","E02000019","68408","E09000002","48.4"
"E01000096","6611","2","4784","2","7753","3","14376","5","9479","3","9400","3","1688","1","15095","5","E02000023","70564","E09000002","48.4"
"E01000097","7385","3","4804","2","9585","3","9468","3","10699","4","12310","4","5085","2","9785","3","E02006799","60461","E09000002","48.4"
"E01000098","5725","2","4014","2","7497","3","11782","4","9964","3","9834","3","2447","1","6652","2","E02006799","60461","E09000002","48.4"
"E01000099","11925","4","7494","3","13326","4","14322","5","10635","4","19802","6","6624","2","21995","7","E02006799","60461","E09000002","48.4"
"E01000100","9927","3","7607","3","9929","3","9923","3","11474","4","14106","5","8802","3","15315","5","E02000005","65001","E09000002","48.4"
"E01000101","6585","2","4759","2","7193","3","8657","3","7959","3","10382","4","7898","3","10463","4","E02000005","65001","E09000002","48.4"
"E01000102","6771","3","3425","2","6129","2","10621","4","9979","3","16414","5","10003","3","10747","4","E02000008","61478","E09000002","48.4"
"E01000103","10456","4","6460","2","9315","3","14784","5","11269","4","14286","5","10174","4","19583","6","E02000015","61101","E09000002","48.4"
"E01000104","6517","2","4000","2","6031","2","12632","4","11804","4","7461","3","5998","2","12897","4","E02000015","61101","E09000002","48.4"
"E01000105","4451","2","3210","1","4827","2","10145","4","4792","2","3144","1","6742","2","15361","5","E02000015","61101","E09000002","48.4"
"E01000106","3580","2","1230","1","3957","2","9389","3","8162","3","4498","2","5409","2","14516","5","E02000015","61101","E09000002","48.4"
"E01000107","12519","4","8710","3","12128","4","11821","4","16024","5","21697","7","6936","3","18693","6","E02000011","64715","E09000002","48.4"
"E01000108","9311","3","7092","3","10628","4","11965","4","21015","7","7088","3","5029","2","9835","3","E02000011","64715","E09000002","48.4"
"E01000110","16154","5","12949","4","18428","6","19432","6","20424","7","19056","6","6208","2","10784","4","E02000003","64687","E09000002","48.4"
"E01000111","9532","3","7817","3","10710","4","11372","4","14502","5","10829","4","6870","3","8239","3","E02000003","64687","E09000002","48.4"
"E01000112","10982","4","9920","3","13308","4","14348","5","17446","6","10474","4","3656","2","9157","3","E02000003","64687","E09000002","48.4"
"E01000113","8791","3","7834","3","13517","5","12827","4","21980","7","7206","3","2255","1","4513","2","E02000003","64687","E09000002","48.4"
"E01000114","9786","3","6201","2","12688","4","13386","4","17646","6","7937","3","9447","3","6953","3","E02000005","65001","E09000002","48.4"
"E01000115","30546","10","30807","10","29020","9","30258","9","32730","10","22244","7","20964","7","14505","5","E02000032","87309","E09000003","56.1"
"E01000116","25568","8","22048","7","24428","8","28016","9","30525","10","24840","8","16277","5","9576","3","E02000032","87309","E09000003","56.1"
"E01000117","25250","8","21520","7","23064","7","28342","9","30778","10","15787","5","16381","5","15826","5","E02000033","71994","E09000003","56.1"
"E01000118","23486","7","19156","6","19319","6","24994","8","30698","10","23255","7","19040","6","11052","4","E02000033","71994","E09000003","56.1"
"E01000119","27394","9","22211","7","25389","8","27992","9","29970","9","24535","8","17973","6","16272","5","E02000032","87309","E09000003","56.1"
"E01000120","29768","9","23340","7","27187","9","29888","9","32886","10","27179","9","26356","8","15972","5","E02000032","87309","E09000003","56.1"
"E01000121","8255","3","7878","3","5137","2","10586","4","10859","4","16307","5","5276","2","20589","7","E02000033","71994","E09000003","56.1"
"E01000122","26263","8","21460","7","21903","7","29322","9","30397","10","31409","10","16845","5","12463","4","E02000032","87309","E09000003","56.1"
"E01000123","18894","6","14026","5","18132","6","25211","8","22628","7","25343","8","10405","4","9692","3","E02000033","71994","E09000003","56.1"
"E01000124","11873","4","8898","3","10058","3","19341","6","26216","8","10000","3","8075","3","7801","3","E02000033","71994","E09000003","56.1"
"E01000126","6096","2","3920","2","6020","2","12141","4","13188","4","15488","5","757","1","19324","6","E02000049","63457","E09000003","56.1"
"E01000127","8055","3","5096","2","8945","3","10122","3","20103","6","12975","4","2267","1","15116","5","E02000047","59921","E09000003","56.1"
"E01000128","8961","3","5527","2","13125","4","12075","4","21047","7","13774","5","2113","1","8666","3","E02000047","59921","E09000003","56.1"
"E01000129","3668","2","1591","1","6734","2","8668","3","11493","4","2889","1","2084","1","7846","3","E02000047","59921","E09000003","56.1"
"E01000130","9376","3","8682","3","9908","3","10804","4","15762","5","16344","5","1834","1","14461","5","E02000044","69466","E09000003","56.1"
"E01000131","12031","4","9768","3","14439","5","16050","5","30375","9","16421","5","1399","1","9031","3","E02000047","59921","E09000003","56.1"
"E01000132","7980","3","4609","2","10626","4","9190","3","14119","5","17135","6","3392","2","11752","4","E02000044","69466","E09000003","56.1"
"E01000133","7811","3","5035","2","8440","3","10602","4","15866","5","15471","5","2690","1","13190","4","E02000044","69466","E09000003","56.1"
"E01000134","10065","3","7816","3","11745","4","11604","4","18689","6","20035","6","1831","1","12692","4","E02000047","59921","E09000003","56.1"
"E01000135","23144","7","20475","7","22604","7","27752","9","30655","10","22275","7","9765","3","9820","3","E02000061","84463","E09000003","56.1"
"E01000136","25507","8","29704","9","30808","10","31803","10","33277","10","13569","5","14399","5","3718","2","E02000061","84463","E09000003","56.1"
"E01000137","7934","3","3623","2","6924","3","14143","5","16563","5","13373","4","6112","2","16716","5","E02000064","77163","E09000003","56.1"
"E01000138","8092","3","5612","2","7184","3","13733","5","18825","6","10722","4","7346","3","5961","2","E02000063","66192","E09000003","56.1"
"E01000139","17259","6","14908","5","20266","7","26165","8","32321","10","15071","5","11168","4","2351","1","E02000064","77163","E09000003","56.1"
"E01000140","17297","6","12979","4","15856","5","22537","7","30160","9","15756","5","10572","4","9234","3","E02000064","77163","E09000003","56.1"
"E01000141","4170","2","4816","2","6362","2","14736","5","19671","6","749","1","2161","1","1024","1","E02000062","61123","E09000003","56.1"
"E01000142","9739","3","5484","2","8249","3","19589","6","17245","6","21475","7","4014","2","12612","4","E02000063","66192","E09000003","56.1"
"E01000143","7234","3","3962","2","7015","3","15515","5","13452","4","9165","3","5175","2","12257","4","E02000064","77163","E09000003","56.1"
"E01000144","11364","4","10173","4","11837","4","20423","7","26139","8","4452","2","6827","3","6356","2","E02000061","84463","E09000003","56.1"
"E01000145","12393","4","7413","3","14178","5","21335","7","29426","9","12646","4","6872","3","5143","2","E02000060","79910","E09000003","56.1"
"E01000146","10219","4","12338","4","11073","4","25298","8","24790","8","1891","1","5254","2","4121","2","E02000061","84463","E09000003","56.1"
"E01000147","14403","5","14716","5","21530","7","12046","4","30896","10","25710","8","921","1","7807","3","E02006954","71851","E09000003","56.1"
"E01000150","11057","4","6292","2","15638","5","17963","6","28048","9","15465","5","1042","1","13484","4","E02000059","63166","E09000003","56.1"
"E01000151","2331","1","1308","1","1723","1","8608","3","7950","3","3464","2","2701","1","11008","4","E02000049","63457","E09000003","56.1"
"E01000152","14739","5","7256","3","15720","5","20992","7","30736","10","20226","6","4734","2","16308","5","E02000049","63457","E09000003","56.1"
"E01000153","6211","2","4090","2","6078","2","15650","5","13827","5","10913","4","1074","1","14448","5","E02000049","63457","E09000003","56.1"
"E01000154","8072","3","4782","2","8398","3","16764","5","14333","5","9506","3","3067","1","16919","6","E02000049","63457","E09000003","56.1"
"E01000156","22937","7","18744","6","24164","8","29858","9","26988","8","20383","7","10604","4","10399","4","E02000045","70363","E09000003","56.1"
"E01000157","16817","5","11984","4","15134","5","28438","9","26969","8","24871","8","5822","2","9121","3","E02000045","70363","E09000003","56.1"
"E01000158","16312","5","13857","5","16061","5","23975","8","27166","9","12904","4","9438","3","6565","2","E02000038","77812","E09000003","56.1"
"E01000159","19763","6","16724","5","19310","6","24360","8","28294","9","16251","5","12485","4","7812","3","E02000038","77812","E09000003","56.1"
"E01000160","17253","6","13665","5","17798","6","25339","8","26771","8","6872","3","12543","4","11636","4","E02000038","77812","E09000003","56.1"
"E01000161","12075","4","9690","3","11960","4","19512","6","12267","4","14508","5","8897","3","9032","3","E02000038","77812","E09000003","56.1"
"E01000162","15020","5","14256","5","13563","5","21206","7","28983","9","8238","3","11424","4","6122","2","E02000038","77812","E09000003","56.1"
"E01000163","6827","3","5350","2","5858","2","14718","5","12872","4","10604","4","1974","1","14172","5","E02000045","70363","E09000003","56.1"
"E01000164","6291","2","4405","2","6565","2","13656","5","16972","6","6892","3","2677","1","7540","3","E02000045","70363","E09000003","56.1"
"E01000165","17435","6","10630","4","13748","5","24038","8","30984","10","19709","6","9788","3","17065","6","E02000045","70363","E09000003","56.1"
"E01000166","16226","5","13186","4","12695","4","21899","7","27838","9","20445","7","3639","2","21605","7","E02000026","86589","E09000003","56.1"
"E01000167","8818","3","7572","3","7666","3","13004","4","15014","5","11464","4","2592","1","19314","6","E02000025","72227","E09000003","56.1"
"E01000168","30038","9","27197","9","28197","9","30436","10","31479","10","29169","9","14732","5","19486","6","E02000026","86589","E09000003","56.1"
"E01000169","20384","7","17990","6","16916","6","27608","9","29627","9","25817","8","7618","3","9543","3","E02000026","86589","E09000003","56.1"
"E01000170","13655","5","11920","4","11985","4","18220","6","24788","8","13713","5","7474","3","8085","3","E02000029","81661","E09000003","56.1"
"E01000171","6645","2","4154","2","6736","2","13050","4","17320","6","7832","3","2712","1","11536","4","E02000029","81661","E09000003","56.1"
"E01000172","26429","8","24536","8","24609","8","31161","10","31507","10","26723","8","12243","4","10113","3","E02000026","86589","E09000003","56.1"
"E01000173","22614","7","18779","6","23332","7","26491","8","30715","10","24898","8","11282","4","7383","3","E02000029","81661","E09000003","56.1"
"E01000174","11343","4","9404","3","12563","4","19103","6","18033","6","16477","5","4280","2","5336","2","E02000029","81661","E09000003","56.1"
"E01000175","28185","9","24716","8","30582","10","28294","9","33618","10","26988","8","10476","4","14023","5","E02000029","81661","E09000003","56.1"
"E01000176","8191","3","6916","3","9229","3","17103","6","14146","5","15323","5","510","1","15250","5","E02000050","75010","E09000003","56.1"
"E01000177","22043","7","21467","7","26300","8","32674","10","32599","10","18982","6","12568","4","2286","1","E02000052","82701","E09000003","56.1"
"E01000178","21494","7","18424","6","23218","7","31655","10","30152","9","21992","7","11200","4","4298","2","E02000050","75010","E09000003","56.1"
"E01000179","22508","7","18880","6","23249","7","31862","10","29806","9","25516","8","5896","2","10307","4","E02000052","82701","E09000003","56.1"
"E01000180","13873","5","7525","3","11439","4","25770","8","24894","8","24689","8","8069","3","9400","3","E02000052","82701","E09000003","56.1"
"E01000181","24222","8","28303","9","29672","9","33037","10","32676","10","18490","6","14089","5","1819","1","E02000052","82701","E09000003","56.1"
"E01000182","24648","8","28469","9","28302","9","32705","10","32440","10","20009","6","10709","4","3201","1","E02000052","82701","E09000003","56.1"
"E01000183","24705","8","22623","7","25630","8","32382","10","30472","10","23638","8","9180","3","8469","3","E02000056","91488","E09000003","56.1"
"E01000184","7094","3","6069","2","9326","3","17261","6","18154","6","11484","4","185","1","8615","3","E02000050","75010","E09000003","56.1"
"E01000185","7824","3","3834","2","6876","3","17503","6","21035","7","12801","4","5182","2","8450","3","E02000052","82701","E09000003","56.1"
"E01000186","27074","9","22182","7","31642","10","29931","9","31804","10","32044","10","4995","2","18524","6","E02000037","94390","E09000003","56.1"
"E01000187","13592","5","8648","3","18883","6","24206","8","25816","8","22328","7","761","1","14757","5","E02000037","94390","E09000003","56.1"
"E01000188","19783","6","13424","4","22959","7","29821","9","29604","9","12056","4","5651","2","18015","6","E02000037","94390","E09000003","56.1"
"E01000189","10799","4","6284","2","12391","4","21357","7","20322","7","15191","5","1045","1","24506","8","E02000037","94390","E09000003","56.1"
"E01000190","21827","7","18891","6","21565","7","23342","7","29738","9","22225","7","5854","2","17271","6","E02000037","94390","E09000003","56.1"
"E01000191","19496","6","15297","5","23580","7","27040","9","31558","10","27374","9","2799","1","9566","3","E02000037","94390","E09000003","56.1"
"E01000192","10974","4","11044","4","14996","5","19751","6","27754","9","9331","3","791","1","6426","2","E02000041","71165","E09000003","56.1"
"E01000193","9746","3","8950","3","11673","4","14492","5","25457","8","4615","2","2721","1","9896","3","E02000041","71165","E09000003","56.1"
"E01000194","6427","2","3897","2","8582","3","15197","5","24668","8","6402","2","1836","1","4543","2","E02000041","71165","E09000003","56.1"
"E01000195","5694","2","4561","2","7892","3","11009","4","14905","5","11661","4","22","1","14749","5","E02000036","76748","E09000003","56.1"
"E01000196","13501","4","11933","4","14391","5","22221","7","28041","9","16794","5","1684","1","9221","3","E02000051","82928","E09000003","56.1"
"E01000197","16832","5","16923","6","21264","7","27204","9","30384","10","18269","6","3913","2","2922","1","E02000046","79944","E09000003","56.1"
"E01000198","17271","6","13936","5","19087","6","29783","9","31492","10","20904","7","2018","1","10782","4","E02000048","86303","E09000003","56.1"
"E01000199","24629","8","21045","7","24353","8","31865","10","33284","10","26880","8","7662","3","10471","4","E02000048","86303","E09000003","56.1"
"E01000200","20709","7","18351","6","17734","6","29281","9","32274","10","24021","8","6945","3","8908","3","E02000051","82928","E09000003","56.1"
"E01000201","30556","10","31731","10","31434","10","32615","10","33475","10","27302","9","16711","5","9826","3","E02000051","82928","E09000003","56.1"
"E01000202","23617","7","22133","7","22964","7","32227","10","32909","10","29741","9","7385","3","6582","2","E02000051","82928","E09000003","56.1"
"E01000203","10536","4","5902","2","10203","4","19174","6","27223","9","9846","3","5035","2","11383","4","E02000051","82928","E09000003","56.1"
"E01000204","21823","7","22473","7","20794","7","32232","10","30764","10","21136","7","6816","3","6558","2","E02000048","86303","E09000003","56.1"
"E01000205","25607","8","24381","8","29956","9","32524","10","33297","10","18766","6","6028","2","11490","4","E02000058","87831","E09000003","56.1"
"E01000206","27469","9","33644","10","33547","10","30993","10","33306","10","20603","7","5988","2","7847","3","E02000056","91488","E09000003","56.1"
"E01000207","23375","7","25112","8","28239","9","28792","9","33474","10","24594","8","8186","3","3206","1","E02000056","91488","E09000003","56.1"
"E01000208","25003","8","28552","9","32131","10","32188","10","33596","10","21877","7","7116","3","3590","2","E02000056","91488","E09000003","56.1"
"E01000209","26229","8","25646","8","30002","9","33442","10","33163","10","23956","8","9035","3","6457","2","E02000058","87831","E09000003","56.1"
"E01000210","22107","7","28210","9","31586","10","32814","10","33269","10","21760","7","2609","1","2947","1","E02000056","91488","E09000003","56.1"
"E01000211","10442","4","7855","3","11637","4","19987","6","26816","8","11686","4","2258","1","6480","2","E02000058","87831","E09000003","56.1"
"E01000212","19531","6","21852","7","23794","8","30222","9","31022","10","18502","6","7948","3","1683","1","E02000058","87831","E09000003","56.1"
"E01000213","26870","8","32681","10","31746","10","31888","10","32816","10","27696","9","7307","3","4496","2","E02000056","91488","E09000003","56.1"
"E01000214","23859","8","24293","8","26216","8","31997","10","32916","10","16998","6","8435","3","6537","2","E02000061","84463","E09000003","56.1"
"E01000215","9962","3","2983","1","13208","4","19047","6","25783","8","25096","8","6498","2","5971","2","E02000060","79910","E09000003","56.1"
